S9033 (7.5%)
  0.2285647 0.03748973
  0.2223933 0.03750097
  0.2162362 0.03749726
  0.2100924 0.03747609
  0.2039556 0.03743505
  0.1978172 0.03737368
  0.1916733 0.03729335
  0.1855273 0.03719555
  0.1793884 0.03708062
  0.1732637 0.03694638
  0.1671538 0.03679024
  0.1610533 0.03661
  0.1549577 0.03640511
  0.1488699 0.03617563
  0.1427993 0.03592105
  0.1367547 0.03563773
  0.1307369 0.03532106
  0.1247394 0.03496707
  0.1187554 0.03457435
  0.1127829 0.03414213
  0.106825 0.03366972
  0.1008879 0.03315641
  0.09498079 0.03260153
  0.08911512 0.03200166
  0.08330368 0.03135238
  0.07755866 0.03064846
  0.07188441 0.02988191
  0.06627533 0.02904485
  0.06073362 0.02813629
  0.05528602 0.0271608
  0.04997331 0.02612065
  0.04483108 0.02501706
  0.03990224 0.02385514
  0.03525521 0.02265014
  0.03095143 0.02140896
  0.02700812 0.02013128
  0.02342429 0.01883488
  0.02021072 0.01755364
  0.01736895 0.01631173
  0.01487858 0.01512078
  0.01270248 0.01398563
  0.01080184 0.01290703
  0.00913916 0.01188396
  0.007687243 0.01090609
  0.006426268 0.009959251
  0.005334594 0.009034974
  0.004390063 0.008131843
  0.003570328 0.007251867
  0.002855805 0.00639368
  0.002231013 0.005554091
  0.001687129 0.004729767
  0.001220711 0.003923086
  0.0008287204 0.003140476
  0.0005079723 0.002389145
  0.0002630937 0.001673968
  9.688946e-05 0.0009902201
  1.114432e-05 0.0003275172
  1.114432e-05 -0.0003275172
  9.688946e-05 -0.0009902201
  0.0002630937 -0.001673968
  0.0005079723 -0.002389145
  0.0008287204 -0.003140476
  0.001220711 -0.003923086
  0.001687129 -0.004729767
  0.002231013 -0.005554091
  0.002855805 -0.00639368
  0.003570328 -0.007251867
  0.004390063 -0.008131843
  0.005334594 -0.009034974
  0.006426268 -0.009959251
  0.007687243 -0.01090609
  0.00913916 -0.01188396
  0.01080184 -0.01290703
  0.01270248 -0.01398563
  0.01487858 -0.01512078
  0.01736895 -0.01631173
  0.02021072 -0.01755364
  0.02342429 -0.01883488
  0.02700812 -0.02013128
  0.03095143 -0.02140896
  0.03525521 -0.02265014
  0.03990224 -0.02385514
  0.04483108 -0.02501706
  0.04997331 -0.02612065
  0.05528602 -0.0271608
  0.06073362 -0.02813629
  0.06627533 -0.02904485
  0.07188441 -0.02988191
  0.07755866 -0.03064846
  0.08330368 -0.03135238
  0.08911512 -0.03200166
  0.09498079 -0.03260153
  0.1008879 -0.03315641
  0.106825 -0.03366972
  0.1127829 -0.03414213
  0.1187554 -0.03457435
  0.1247394 -0.03496707
  0.1307369 -0.03532106
  0.1367547 -0.03563773
  0.1427993 -0.03592105
  0.1488699 -0.03617563
  0.1549577 -0.03640511
  0.1610533 -0.03661
  0.1671538 -0.03679024
  0.1732637 -0.03694638
  0.1793884 -0.03708062
  0.1855273 -0.03719555
  0.1916733 -0.03729335
  0.1978172 -0.03737368
  0.2039556 -0.03743505
  0.2100924 -0.03747609
  0.2162362 -0.03749726
  0.2223933 -0.03750097
  0.2285647 -0.03748973
  0.2347461 -0.03746567
  0.2409318 -0.03742932
  0.2471183 -0.03738086
  0.2533049 -0.03732046
  0.2594927 -0.03724836
  0.2656827 -0.03716487
  0.271875 -0.03707031
  0.278069 -0.03696501
  0.2842637 -0.03684912
  0.2904588 -0.03672269
  0.2966547 -0.03658577
  0.3028524 -0.03643849
  0.309053 -0.03628136
  0.3152573 -0.03611498
  0.3214652 -0.03593996
  0.3276763 -0.03575688
  0.33389 -0.03556618
  0.3401058 -0.03536827
  0.3463236 -0.03516355
  0.3525431 -0.03495239
  0.3587642 -0.034735
  0.3649863 -0.03451161
  0.3712089 -0.03428244
  0.3774314 -0.03404765
  0.3836531 -0.03380716
  0.3898741 -0.03356087
  0.3960951 -0.03330866
  0.4023169 -0.03305049
  0.4085405 -0.03278668
  0.4147664 -0.03251764
  0.4209946 -0.03224379
  0.4272246 -0.0319655
  0.4334556 -0.03168297
  0.4396871 -0.03139629
  0.4459186 -0.03110556
  0.4521498 -0.0308109
  0.4583805 -0.03051232
  0.4646109 -0.03020984
  0.4708417 -0.02990345
  0.477074 -0.02959311
  0.4833088 -0.02927904
  0.4895464 -0.02896167
  0.4957863 -0.02864148
  0.5020266 -0.02831902
  0.5082652 -0.02799444
  0.5145004 -0.02766729
  0.5207324 -0.02733701
  0.5269627 -0.02700296
  0.533194 -0.02666476
  0.5394291 -0.026323
  0.5456691 -0.02597846
  0.5519138 -0.02563202
  0.5581614 -0.0252845
  0.5644097 -0.02493605
  0.5706569 -0.02458654
  0.5769019 -0.02423578
  0.5831445 -0.02388358
  0.5893849 -0.0235297
  0.5956236 -0.02317387
  0.6018618 -0.02281584
  0.6081006 -0.02245531
  0.6143416 -0.02209239
  0.6205857 -0.02172762
  0.626833 -0.02136156
  0.6330831 -0.02099485
  0.6393348 -0.02062793
  0.6455869 -0.02026096
  0.6518387 -0.01989408
  0.6580894 -0.01952739
  0.6643387 -0.0191608
  0.6705862 -0.0187939
  0.6768315 -0.01842626
  0.6830741 -0.01805745
  0.6893134 -0.01768759
  0.6955497 -0.01731785
  0.7017837 -0.0169495
  0.7080171 -0.0165837
  0.714252 -0.01622077
  0.7204898 -0.01585955
  0.7267306 -0.01549881
  0.7329731 -0.01513744
  0.7392152 -0.01477536
  0.7454553 -0.01441366
  0.7516933 -0.01405345
  0.7579303 -0.01369564
  0.7641681 -0.01333979
  0.7704077 -0.01298462
  0.776649 -0.01262891
  0.7828914 -0.01227184
  0.7891341 -0.01191403
  0.7953768 -0.01155648
  0.80162 -0.01120009
  0.8078646 -0.01084516
  0.814111 -0.01049138
  0.820359 -0.01013845
  0.826608 -0.009786164
  0.8328572 -0.009434509
  0.8391065 -0.009083499
  0.8453562 -0.008733082
  0.8516067 -0.008383018
  0.8578574 -0.008033035
  0.8641068 -0.007682992
  0.8703537 -0.007333435
  0.876598 -0.006985168
  0.8828412 -0.006638719
  0.8890852 -0.006293341
  0.8953306 -0.005947849
  0.9015766 -0.005601381
  0.9078221 -0.005253853
  0.9140663 -0.004905307
  0.9203082 -0.004555712
  0.9265462 -0.004205029
  0.9327769 -0.003852928
  0.9389956 -0.003498285
  0.9451954 -0.003139573
  0.9513715 -0.002773519
  0.9575238 -0.002397198
  0.9636474 -0.00201206
  0.9697205 -0.00162275
  0.9756837 -0.001238814
  0.9814414 -0.0008762055
  0.9868886 -0.0005550098
  0.9919342 -0.0002923627
  0.9964875 -9.100815e-05
  1.0 0.0
